Care Freight Thailand Co Ltd	fazal@care-freight.com,tima@care-freight.com	Bangkok 44 Petchburi Soi 15 Petchburi Road, Phayathai Ratchtevi Bangkok 10400 	+66 (0)2 631 9401,+66 (0)2 631 9404,+66 (0)2 631 9402/3	www.care-freight.com	+66 (0)2 631 9405	
Centalog Co Ltd	yao@centalog.com	Bangkok 45/79 Soi Ramkhamhaeng 58/3 Huamark, Bangkapi Bangkok 10240 	+66 (0)2 731-6540	www.centalog.com	+66 (0)2 731-6530	
Chiang Mai International Airport	usa@airportthai.co.th	Chiang Mai Airport 60 Sanambin Road Suthep District Amphoe Muang Changwat Chiang Mai 50200 	+66 (0)53 270222/33,+66 (0)53 203300/19	www.airportthai.co.th	+66 (0)53 277284	
Cityairways	benjarongc@cityairways.net	Bangkok 184/6, 10#floor, Forum Tower Rachadapsek Road Huaykwang Bangkok 10310 	+66 (0)2 535-168	www.cityairways.co.th	+66 (0)2 996-9112	
Hewanorra Air Cargo Services	rhonc@candw.lc,hacs@candw.lc	Vieux-Fort Airport PO Box 301 Vieux-Fort 	+1 758 454-8686		+1 758 454-8600+1 758 454-7366	
Coyne Airways		General Sales Agents: Ican Transport International Co Ltd				
Dawn Shipping (Thailand) Co Ltd	robin@dawnsg.com	Bangkok 184/107, 20th Floor, Forum Tower Ratchadaphisek Road Huaykwang Bangkok 10310 	+66 (0)2 645 2218,+66 (0)2 645 2219	www.dawnsg.com	+66 (0)2 645 2217	 dstrobin
DVA Intertrans Co Ltd		Bangkok 59/14 Soi Sawasdi Sukhumvit 31 Road, Klongtoey-Nua, Wattana Bangkok Thailand 10110 	+66 (0)2 662-2330	www.dvaintertrans.com	+66 (0)2 662-2726	
DWT Worldwide (Thailand) Co Ltd.	jeab.t@dextransgroup.com	Bangkok 26/56 TPI Tower, F19 Chan Tat Mai, Kwaeng Thungmahamek Khet Sathorn Bangkok 10120 	+66 (0)2 2868816	www.dextransgroup.com	+66 (0)2 2868817	
Cubana	informacion.cliente@cubana.avianet.cu	Havana Calle 23 No 64 esq a Infanta Vedado Ciudad de la Habana 	+53 (0)7 834 4446	www.cubana.cu		
Elephas Import Export Co., Ltd.	p@elephasworld.com	Bangkok 45/100 Bangkruai Stinoi Road Bangkruai Nonthaburi Thailand 11130 	+66 (0)24317114,+66 (0)24317115	www.elephasworld.com	+66 (0)28897679	
Elite Transportation Services	waralee@elitethai.com,siriporn@elitethai.com	Bangkok 102, 3rd Floor, Soi Sukhumvit 26 Sukhumvit Road Klongton, Klongtoey Bangkok 10110 	+66 (0)2 258-2991	www.elitethai.com	+66 (0)2 258-5990	
NoName		Bangkok, Suvarnabhumi Room No 409-410, 4th Floor, Free Zone Operator Building (BFZ) Suvarnabhumi A/P 99 Moo 10 Bangna-Trad Highway (KM 15) Rachathewa, Bangphli, Bangkok Samutprakarn 10540 	+66 (0)2 134-3570/7	www.skycargo.com	+66 (0)2 134-3580	
Enterprise Transport International Co Ltd	sales@enterprise.co.th	Bangkok 1000/34 P B Tower, 10th Floor Sukhumvit 71 Road, North Klongtan Wattana Bangkok 10110 	+66 (0)2 381-1706/8,+66 (0)2 381-7083	www.enterprise.co.th	+66 (0)2 391-7852	
Excel Transport International Co Ltd	partner@exctrans.co.th 	Bangkok 65/1 Soi Sukhumvit 19 Sukhumvit Rd Klongtoey Nua, Wattana Bangkok 10110 	+66 (0)2 254-5370/8,+66 (0)2 134-7341/8 (Airport)	www.exceltransport.net	+66 (0)2 254-2119+66 (0)2 134-7349/50 (Airport)	
Expo Aviation		General Sales Agents: Ican Transport International Co Ltd				
Fastable Logistics Co Ltd	center@fastable-logistics.com	Bangkok 244 Soi Sansuk Rama4 Road Klongtoey Bangkok 10110 	+66 (0)2 258 6579/80	www.fastable-logistics.com		
Feta Freight Systems (Thailand) Co Ltd	ffsibkk@feta.co.th	Bangkok 503/19, 11th Floor (F), KSL Tower Sriayudhaya Road, Thanon Phayathai Ratchathevee Bangkok 10400 	+66 (0)2 642-6087/9,+66 (0)2 248-0388/9 (Operations, Sales)	www.feta.co.th	+66 (0)2 642-6090+66 (0)2 642-6149	
Skyplan	sales@skyplan.com	Calgary, AB Suite 104 7777 10th Street NE Calgary Alberta T2E 8X2 	+1 403 275-2520	www.skyplan.com	+1 403 275-3877	
The Freight Co Ltd	salesmgr@the-freight.com	Bangkok 15th Floor, Room 1503 Bangkok Business Ctr Bldg, 29 Soi Ekamai Sukhumvit 63 Road, Klongton Nua, Wattana Bangkok 10110 	+66 (0)2 714-2414/22	www.the-freight.com	+66 (0)2 714-2424	
Freight Rangers Co.,Ltd.	pintoo@rangers.co.th	Laem Chabang 776 Phairojkijja Vill.Phase4 Soi 3 BangnaTrad 27 Road Bangna Bangna Bangkok 10260 	+66 (0)27443386,+66 (0)26773387	www.rangers.co.th	+66 (0)0013522	
Functional Air Service		Bangkok 60 Pracha U-thit 19/1 Pracha U-thit Road Rat Burana Bangkok 10140 	+66 (0)2 874-7850	funcairs.weebly.com/		
GGS Lines (Thailand) Co Ltd	kate@ggslines.com	Bangkok 211/29 Nonsee Road Yannawa Bangkok 10120 	+66 (0)2 681-5055	www.ggslines.com	+66 (0)2 681-3055+66 (0)2 295-2685	
Gulf Air	khaled.arahman@gulfair.com,atharat.sangpetch@gulfair.com	Tel: +66 (0)2 254 7935/8 Fax: +66 (0)2 254 8390 Email: khaled.arahman@gulfair.comEmail: atharat.sangpetch@gulfair.com Website: www.gfcargo.com	+66 (0)2 254 7935/8	www.gfcargo.com	+66 (0)2 254 8390	
Handle Inter Freight Logistics Co Ltd	aramsri@handleinterfreight.com	Bangkok 37/9 Soi Somprasong 4, Petchburi Road Phayathai, Rajthevee Bangkok 10400 	+66 (0)2 253 5995	www.handleinterfreight.com	+66 (0)2 253 5735	
Bringer Air Cargo	paula@bringercargo.com.br,bringer@bringercargo.com.br	Porto Alegre, RS Av Cruzeiro 300 Bairro Distr Industrial Cachoeirinha Porto Alegre RS 94930-615 	+55 (0)51 3470 7800	www.bringercargo.com.br	+55 (0)51 3470 7838	
Harpers Freight International Air Cargo Co Ltd	info@harpersfreight.com	Bangkok 2 Soi Romklao 38, Romklao Road, Klongsampravej Ladkrabang Bangkok 10520 	+66 (0)2 327-9009,+66 (0)2 327-9009	www.harpersfreight.com	+66 (0)2 327-9000/1	
Hat Yai International Airport	aotpr@airportthai.co.th	Hat Yai Airport 99 Amphoe Khlong Hoi Khong Songkhla Hat Yai Airport 	+66 (0)76 327230/7,+66 (0)76 351166 (Info)	www.airportthai.co.th	+66 (0)76 327478	
Ican Transport International Co Ltd	paiboon.chanyasak@icantransport.com	Bangkok Room 204, 2nd Floor, B-FZ Building Suvarnabhumi Airport 999 Rachatewa, Bangphli Samutprakarn, Bangkok 10540 	+66 (0)2 134-6477/8	www.icantransport.com	+66 (0)2 134-6479	
Icelandair Cargo		General Sales Agents: Air Logistics Group				
IndiGo Airlines		General Sales Agents: Ican Transport International Co Ltd				
Indochina Aviation Services Co Ltd	bhubest@itlavs.com	Phuket Airport Cargo Terminal Phuket Room CA 223, 222 M.6 Tambon Maikhoa, Amphur Thalang Phuket 83110 	+66 (0)76 351714/5		+66 (0)76 327427	
Inspired Logistics Company Limited (sub of Globespan Logistics (S))	csdesk@inspired.co.th	Bangkok 729/156-159 Ratchadapisek Road Bangpongpang Yannawa Bangkok 12120 	+66 (0)2 683 8166/9	www.inspired.co.th	+66 (0)2 683 8165	
Janel International (Thailand) Co Ltd	jtops@janel.co.th	Bangkok 4th Floor, 318/10-14 Sukhumvit 22 Road (Sainamtip) Klongtoey Bangkok 10110 	+66 (0)2 260 8708,+66 (0)2 663 0902	www.janel.com	+66 (0)2 260 8707+66 (0)2 261 1808	
Japan Airlines	webmastercargo@jal.com	Bangkok Rm 2021-2022 Thai Int'l Cargo Warehouse 999 Moo 10, Bangna-Trad Highway Rachatheva Bang Phli Bangkok Samut Prakan 10540 	+66 (0)2 137 4701/5	www.jal.co.jp	+66 (0)2 137-4708	
JSI Logistics (Thailand) Ltd	agents@jsilogistics.com	Bangkok Room 136-138 Building 304 Free Zone Suvarnabhumi Airport 999 Moo 7 Racha Thewa, Bangpli Samutprakan, Bangkok 10540 	+66 (0)2 134-6029/34	www.jsilogistics.com	+66 (0)2 134-6867	
Khon Kaen Airport	khonkaen@aviation.go.th	Khon Kaen Khon Kaen 	+66 (0)43 246774/5,+66 (0)43 246774 (Information)	www.khonkaenairport.com		
KWE-Kintetsu World Express (Thailand) Co., Ltd.		Bangkok, Suvarnabhumi 99 Soi Ladprao 28, Ratchadaphisek Road, Chankasem, Chatuchak, Bangkok Metropolis 10900 	+66 (0)2 7925999,+66 (0)2 5153888	www.kwe.co.th	+66 (0)2 9382368+66 (0)2 5115720	
KLM Cargo	charnvit.nantachantoon@klmcargo.com	Samut Prakan 777 Moo 7, Room 233, 2nd Floor BFS Cargo Terminal, Customs Free Zone Suvarnabhumi Int'l Airport, Racha Thewa Samut Prakan Bang Phli 10540 	+66 (0)2 131-0000	www.afklcargo.com	+66 (0)2 131-0010+66 (0)2 131-0009	
